35,0.010,0.000,0.010
36,0.015,0.010,0.025
37,0.020,0.025,0.045
38,0.020,0.045,0.065
39,0.022,0.065,0.087
40,0.023,0.087,0.110
41,0.025,0.110,0.135
42,0.027,0.135,0.162
43,0.028,0.162,0.190
44,0.029,0.190,0.219
45,0.035,0.219,0.254
46,0.045,0.254,0.299
47,0.060,0.299,0.359
48,0.065,0.359,0.424
49,0.070,0.424,0.494
50,0.080,0.494,0.574
51,0.075,0.574,0.649
52,0.070,0.649,0.719
53,0.065,0.719,0.784
54,0.060,0.784,0.844
55,0.050,0.844,0.894
56,0.040,0.894,0.934
57,0.030,0.934,0.964
58,0.016,0.964,0.980
59,0.015,0.980,0.995
60,0.005,0.995,1.000
